age,N_2022,stkwt,mat,F_age_land_2022,F_age_disc_2022,weights_age,weights_age_disc,ret_frac,F_age_rec_2022,weights_age_rec,M
0,10105,0.003,0,0,0,0,0,0,0,0.02,0.24
1,7949,0.024,0,3.68641E-06,1.58534E-05,0.117,0.117,0.188,0.00027046,0.079,0.24
2,6251,0.096,0,0.000128309,0.000545315,0.236,0.237,0.19,0.001591376,0.191,0.24
3,6111,0.21,0,0.001175962,0.004454668,0.385,0.385,0.209,0.00518137,0.342,0.24
4,7222,0.369,0.093,0.006814212,0.01398224,0.588,0.562,0.338,0.011631881,0.531,0.24
5,1808,0.571,0.297,0.029146739,0.018185283,0.812,0.753,0.634,0.019510311,0.751,0.24
6,5466,0.808,0.578,0.063561518,0.011481469,1.014,0.967,0.853,0.026609013,0.993,0.24
7,917,1.073,0.797,0.084835127,0.004633437,1.243,1.221,0.949,0.031494436,1.252,0.24
8,2960,1.358,0.914,0.091628631,0.001518031,1.512,1.505,0.984,0.034001672,1.528,0.24
9,1067,1.658,0.965,0.092448948,0.000472213,1.804,1.806,0.995,0.034988172,1.821,0.24
10,205,1.965,0.985,0.091463376,0.000152287,2.106,2.113,0.998,0.035315337,2.124,0.24
11,303,2.276,0.993,0.089940112,5.31734E-05,2.41,2.42,0.999,0.035421714,2.432,0.24
12,45,2.584,0.997,0.08826541,2.04615E-05,2.709,2.722,0.999,0.035463128,2.737,0.24
13,142,2.888,0.998,0.086589895,8.73982E-06,3.002,3.018,1,0.035485365,3.037,0.24
14,100,3.183,0.999,0.084984444,4.08806E-06,3.286,3.305,1,0.035500801,3.327,0.24
15,118,3.468,0.999,0.083484209,2.0971E-06,3.559,3.579,1,0.035512694,3.607,0.24
16,186,4.184,1,0.082104112,1.18865E-06,4.216,4.063,1,0.035522032,3.874,0.24
